,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
189,Errbody,"Lil Baby",212093,https://open.spotify.com/track/6eVxH9Kyanzrw636zJRPcw
190,oops!,"Yung Gravy",211755,https://open.spotify.com/track/7L6G0wpIUiPXuvoo7qhb06
191,Falling,"Trevor Daniel",211389,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
192,"Armed And Dangerous","Juice WRLD",211327,https://open.spotify.com/track/5wujBwqG7INdStqGd4tRMX
193,"Savage Love (Laxed - Siren Beat)","Jawsh 685",211012,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
194,"Money Trees","Kendrick Lamar",210883,https://open.spotify.com/track/2HbKqm4o0w5wEeEFXm2sD4
195,Warning,"Morgan Wallen",210643,https://open.spotify.com/track/64SCQtbRtmO28ks1QhS3w5
196,PTSD,"G Herbo",210168,https://open.spotify.com/track/3jT2LKH0RSbQ8jIUNFzXm5
197,"Mr. Right Now (feat. Drake)","21 Savage",209995,https://open.spotify.com/track/4Q34FP1AT7GEl9oLgNtiWj
198,Redbone,"Childish Gambino",209949,https://open.spotify.com/track/0wXuerDYiBnERgIpbb3JBR
199,"Dance Monkey","Tones And I",209630,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
200,"Tequila Shots","Kid Cudi",209155,https://open.spotify.com/track/30KctD1WsHKTIYczXjip5a
